,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262
80,24053681.0,1.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2422479517.0,0.0,0.0,0.0,3.0,3.0,0.0,11.0,6.0,5.0,0.0,1.0,3.0,1.0,1.0,3.0,0.0,9.0,9.0,1.0,1.0,1.0,25.0,10.0,8.0,2.0,10.0,2.0,1.0,3.0,4.0,1.0,26.0,0.0,15.0,4.0,0.0,10.0,1.0,13.0,2.0,2.0,0.0,0.0,2.0,7.0,1.0,2.0,2.0,0.0,4.0,9.0,14.0,8.0,37.0,5.0,8.0,5.0,1.0,20.0,3.0,3.0,14.0,6.0,27.0,2.0,2.0,0.0,4.0,0.0,5.0,3.0,0.0,4.0,1.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,12.0,11.0,1.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,1.0,17.0,0.0,4.0,13.0,9.0,7.0,0.0,54.0,0.0,2.0,0.0,17.0,0.0,19.0,1.0,0.0,0.0,1.0,0.0,17.0,5.0,19.0,9.0,2.0,7.0,4.0,0.0,1.0,2.0,9.0,4.0,2.0,0.0,0.0,1.0,3.0,4.0,4.0,38.0,0.0,2.0,2.0,22.0,0.0,6.0,0.0,1.0,12.0,17.0,0.0,28.0,2.0,2.0,1.0,0.0,2.0,8.0,0.0,1.0,0.0,0.0,7.0,1.0,2.0,0.0,0.0,15.0,1.0,1.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,16.0,4.0,3.0,0.0,2.0,0.0,7.0,7.0,0.0,6.0,11.0,12.0,16.0,6.0,0.0,0.0,0.0,3.0,1.0,2.0,6.0,5.0,0.0,3.0,2.0,3.0,1.0,0.0,4.0,9.0,1.0,0.0,0.0,2.0,1.0,4.0,12.0,36.0,1.0,16.0,4.0,20.0,13.0,3.0,0.0,0.0,9.0,3.0,8.0,25.0,13.0,0.0,0.0,0.0,0.0,27.0,12.0,2.0,1.0,3.0,7.0,8.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,16.0,0.0,20.0,7.0,3.0,0.0,0.0,7.0,4.0,0.0,1.0,6.0,4.0,8.0,6.0,1.0,4.0,0.0,0.0,1.0
82,242624823.0,2.0,1.0,0.0,7.0,3.0,6.0,42.0,12.0,8.0,0.0,6.0,1.0,3.0,1.0,2.0,0.0,14.0,25.0,1.0,3.0,1.0,55.0,19.0,23.0,2.0,19.0,5.0,6.0,3.0,9.0,2.0,21.0,0.0,24.0,18.0,3.0,28.0,1.0,20.0,1.0,1.0,0.0,0.0,2.0,18.0,2.0,1.0,11.0,0.0,2.0,16.0,13.0,19.0,16.0,12.0,7.0,13.0,3.0,45.0,4.0,3.0,33.0,18.0,42.0,5.0,4.0,5.0,12.0,3.0,10.0,34.0,3.0,6.0,1.0,0.0,8.0,37.0,0.0,0.0,1.0,12.0,0.0,33.0,1.0,2.0,0.0,0.0,4.0,0.0,11.0,0.0,3.0,22.0,1.0,7.0,17.0,40.0,14.0,4.0,30.0,0.0,3.0,1.0,60.0,1.0,47.0,2.0,4.0,0.0,2.0,0.0,24.0,11.0,29.0,15.0,3.0,20.0,5.0,4.0,1.0,1.0,10.0,2.0,2.0,1.0,4.0,0.0,5.0,3.0,7.0,12.0,0.0,9.0,18.0,48.0,0.0,10.0,8.0,1.0,32.0,32.0,0.0,19.0,4.0,1.0,1.0,0.0,2.0,7.0,0.0,2.0,1.0,0.0,20.0,1.0,1.0,0.0,1.0,26.0,6.0,2.0,0.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,2.0,14.0,0.0,1.0,13.0,8.0,20.0,1.0,8.0,1.0,15.0,19.0,0.0,21.0,27.0,22.0,35.0,5.0,0.0,2.0,0.0,2.0,3.0,2.0,6.0,6.0,2.0,12.0,6.0,6.0,6.0,0.0,3.0,14.0,11.0,0.0,4.0,1.0,2.0,5.0,40.0,76.0,1.0,32.0,10.0,30.0,24.0,1.0,3.0,2.0,34.0,3.0,15.0,75.0,13.0,0.0,0.0,1.0,2.0,8.0,34.0,1.0,1.0,6.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,43.0,1.0,22.0,1.0,10.0,0.0,0.0,28.0,22.0,0.0,0.0,18.0,4.0,22.0,9.0,1.0,10.0,0.0,3.0,1.0
83,242684798.0,0.0,0.0,0.0,27.0,10.0,14.0,77.0,19.0,9.0,0.0,7.0,3.0,3.0,1.0,3.0,10.0,37.0,26.0,1.0,2.0,3.0,75.0,52.0,23.0,5.0,52.0,19.0,9.0,27.0,20.0,1.0,42.0,0.0,42.0,23.0,2.0,53.0,1.0,52.0,1.0,1.0,0.0,0.0,7.0,40.0,5.0,1.0,4.0,2.0,8.0,45.0,23.0,19.0,18.0,11.0,23.0,8.0,0.0,50.0,7.0,36.0,30.0,17.0,90.0,12.0,2.0,2.0,11.0,2.0,1.0,31.0,2.0,14.0,3.0,1.0,34.0,76.0,0.0,0.0,4.0,11.0,33.0,0.0,2.0,3.0,0.0,0.0,9.0,0.0,16.0,0.0,1.0,35.0,5.0,18.0,60.0,43.0,12.0,2.0,49.0,0.0,2.0,0.0,89.0,0.0,77.0,2.0,1.0,0.0,0.0,0.0,18.0,10.0,68.0,15.0,14.0,36.0,4.0,5.0,1.0,3.0,52.0,9.0,2.0,2.0,12.0,1.0,5.0,3.0,10.0,6.0,8.0,0.0,15.0,81.0,4.0,23.0,6.0,2.0,48.0,19.0,0.0,32.0,3.0,3.0,1.0,0.0,4.0,5.0,0.0,5.0,2.0,1.0,18.0,0.0,1.0,0.0,10.0,52.0,7.0,1.0,0.0,4.0,1.0,0.0,4.0,3.0,1.0,4.0,0.0,46.0,0.0,1.0,12.0,13.0,23.0,2.0,4.0,0.0,17.0,18.0,0.0,30.0,37.0,46.0,90.0,11.0,3.0,2.0,0.0,23.0,1.0,1.0,16.0,17.0,0.0,10.0,5.0,11.0,9.0,3.0,21.0,11.0,15.0,0.0,6.0,0.0,1.0,29.0,59.0,127.0,1.0,53.0,6.0,18.0,59.0,3.0,12.0,1.0,49.0,3.0,35.0,96.0,32.0,0.0,2.0,1.0,9.0,5.0,16.0,3.0,4.0,12.0,41.0,29.0,1.0,0.0,0.0,0.0,0.0,35.0,2.0,95.0,0.0,27.0,2.0,13.0,0.0,0.0,33.0,25.0,0.0,0.0,15.0,8.0,70.0,12.0,1.0,24.0,0.0,0.0,1.0
84,2430802909.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,7.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,4.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,2.0,0.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,25.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,20.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,16.0,0.0,0.0,1.0,1.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
85,2433167971.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,9.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,7.0,0.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,7.0,1.0,3.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0
86,2440076029.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,2455955606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,2475816284.0,0.0,0.0,0.0,4.0,2.0,1.0,8.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,6.0,0.0,2.0,0.0,7.0,7.0,5.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,8.0,0.0,6.0,1.0,0.0,2.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,1.0,5.0,7.0,6.0,6.0,1.0,6.0,1.0,0.0,9.0,2.0,1.0,4.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,4.0,4.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,4.0,6.0,4.0,2.0,0.0,6.0,0.0,1.0,0.0,8.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,10.0,4.0,1.0,4.0,0.0,0.0,1.0,2.0,6.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,8.0,0.0,5.0,0.0,1.0,8.0,4.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,5.0,6.0,0.0,4.0,3.0,6.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,10.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,8.0,1.0,7.0,0.0,4.0,4.0,1.0,0.0,0.0,13.0,1.0,4.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,5.0,1.0,3.0,0.0,0.0,7.0,4.0,0.0,0.0,3.0,0.0,6.0,5.0,0.0,2.0,0.0,0.0,1.0
89,247626976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,2563587811.0,1.0,0.0,0.0,6.0,4.0,0.0,19.0,7.0,3.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,13.0,9.0,1.0,1.0,0.0,21.0,13.0,5.0,2.0,9.0,4.0,4.0,0.0,3.0,0.0,10.0,0.0,12.0,3.0,0.0,12.0,0.0,14.0,1.0,1.0,0.0,0.0,2.0,14.0,0.0,1.0,2.0,1.0,1.0,11.0,9.0,7.0,7.0,3.0,8.0,4.0,0.0,19.0,1.0,1.0,9.0,8.0,22.0,4.0,0.0,0.0,5.0,0.0,4.0,9.0,0.0,2.0,0.0,3.0,3.0,16.0,0.0,0.0,0.0,6.0,11.0,16.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,5.0,14.0,9.0,6.0,0.0,14.0,0.0,1.0,0.0,29.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,9.0,4.0,20.0,6.0,3.0,4.0,1.0,0.0,0.0,1.0,11.0,5.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,4.0,0.0,0.0,9.0,24.0,1.0,6.0,1.0,0.0,16.0,6.0,0.0,6.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,2.0,17.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,3.0,10.0,0.0,3.0,0.0,5.0,9.0,0.0,11.0,11.0,11.0,17.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,10.0,0.0,4.0,4.0,5.0,3.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,3.0,16.0,34.0,0.0,14.0,1.0,9.0,15.0,0.0,0.0,0.0,8.0,2.0,9.0,27.0,11.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,0.0,2.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,18.0,1.0,12.0,2.0,6.0,0.0,0.0,13.0,7.0,0.0,0.0,8.0,1.0,11.0,5.0,2.0,4.0,0.0,0.0,0.0
91,2566700012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
